Season;Year;Month;value;Source;link
2015-2016;2016;Abril;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Mayo;25;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Diciembre;40;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Enero;100;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Febrero;98;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Marzo;90;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Abril;80;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Mayo;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Diciembre;2;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Enero;60;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Febrero;105;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Marzo;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Abril;110;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Mayo;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Diciembre;45;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Enero;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Febrero;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Marzo;105;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Abril;100;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Mayo;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Diciembre;40;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Enero;52;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Febrero;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Marzo;30;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Abril;;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Mayo;;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Diciembre;0;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Enero;10;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Febrero;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Marzo;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
